county,state,household_income,total_population,total_white_population
bucks county,PA,245200,643872,548081
buena vista county,IA,7506,20723,14916
buena vista city,VA,2581,6649,5846
buffalo county,NE,19236,49840,44756
buffalo county,SD,517,1974,285
buffalo county,WI,5550,13314,12789
bullitt county,KY,30485,81729,76817
bulloch county,GA,28917,79635,50982
bullock county,AL,3419,10386,2572
buncombe county,NC,103575,266981,230739
bureau county,IL,13788,33338,30452
burke county,GA,8742,24231,11986
burke county,NC,34376,87829,73174
burke county,ND,903,2177,2025
burleigh county,ND,39323,97895,85822
burleson county,TX,7178,17687,13380
burlington county,NJ,172400,460102,318760
burnet county,TX,17941,48424,41346
burnett county,WI,6990,16356,14971
burt county,NE,2790,6705,6239
butler county,AL,6531,19181,9894
butler county,IA,5860,14421,13903
butler county,KS,24620,67404,60655
butler county,KY,4403,12413,11965
butler county,MO,16031,42314,37769
butler county,NE,3417,8354,7937
butler county,OH,142881,387830,316933
butler county,PA,78365,192561,182771
butte county,CA,85292,217884,169550
butte county,ID,939,2573,2440
butte county,SD,3993,10167,9256
butts county,GA,8440,24950,16721
cabarrus county,NC,74967,221200,149558
cabell county,WV,39398,94622,85375
cabo rojo municipio,PR,16722,47403,16297
cache county,UT,40362,131703,116875
caddo county,OK,9094,27253,16868
caddo parish,LA,94311,239775,107795
caguas municipio,PR,48226,128182,79979
calaveras county,CA,16809,45349,38373
calcasieu parish,LA,76829,212646,146628
caldwell county,KY,5259,12641,11614
caldwell county,MO,3396,8856,8358
caldwell county,NC,31840,80705,70857
caldwell county,TX,14315,45286,31561
caldwell parish,LA,3468,9707,7676
caledonia county,VT,12525,30402,28747
calhoun county,AL,44295,116425,84775
calhoun county,AR,1481,4811,3602
calhoun county,FL,4495,13863,10772
calhoun county,GA,1457,5668,1907
calhoun county,IL,1272,4537,4357
calhoun county,IA,3932,9962,9394
calhoun county,MI,53197,134207,106904
calhoun county,MS,5672,13420,8669
calhoun county,SC,5789,14198,7970
calhoun county,TX,7748,20367,15235
calhoun county,WV,2390,6420,6335
callahan county,TX,5247,13781,12675
callaway county,MO,15814,44449,40431
calloway county,KY,14621,37291,33832
calumet county,WI,20467,52128,48126
calvert county,MD,32751,92515,73328
camas county,ID,335,1044,977
cambria county,PA,55519,134048,124426
camden county,GA,20032,54256,38624
camden county,MO,16216,43053,40954
camden county,NJ,196939,521194,314994
camden county,NC,3792,10353,8408
cameron county,PA,2131,4596,4342
cameron county,TX,130030,420554,309784
cameron parish,LA,2216,5650,5251
camp county,TX,4385,12498,8740
campbell county,KY,38030,93023,86431
campbell county,SD,654,1548,1513
campbell county,TN,15744,39388,37998
campbell county,VA,22243,55656,44501
campbell county,WY,17190,46758,42191
camuy municipio,PR,11367,32885,29275
canadian county,OK,54871,151174,117754
candler county,GA,4034,10885,7290
cannon county,TN,5671,14309,13617
canyon county,ID,76711,227367,178174
canóvanas municipio,PR,14612,42811,16288
cape girardeau county,MO,30913,81086,70394
cape may county,NJ,41971,95488,84874
carbon county,MT,4512,10488,10013
carbon county,PA,26312,64792,60572
carbon county,UT,7762,20208,18271
carbon county,WY,5937,14714,12878
caribou county,ID,2470,7003,6585
carlisle county,KY,1795,4821,4573
carlton county,MN,13587,36145,32063
carolina municipio,PR,61112,155886,65978
caroline county,MD,11963,33234,25599
caroline county,VA,11000,30861,20078
carroll county,AR,11168,28154,23900
carroll county,GA,42635,118402,85139
carroll county,IL,6299,15586,14248
carroll county,IN,7876,20288,19330
carroll county,IA,8761,20756,19529
