county,state,household_income,total_population,total_white_population
lane county,OR,157183,380532,321381
langlade county,WI,8404,19469,18235
lanier county,GA,3529,9874,7054
lapeer county,MI,33977,88644,83274
laramie county,WY,40842,99905,86159
lares municipio,PR,9882,28092,23276
larimer county,CO,145175,354670,311544
larue county,KY,5906,14768,13766
las animas county,CO,6410,14531,11113
las marías municipio,PR,2695,8896,4881
las piedras municipio,PR,12068,35495,4084
lassen county,CA,8910,32949,24933
latah county,ID,15706,39464,35466
latimer county,OK,3852,9555,6175
lauderdale county,AL,37928,93342,79364
lauderdale county,MS,28452,73756,39132
lauderdale county,TN,9144,25406,15552
laurel county,KY,23146,62090,59944
laurens county,GA,17366,49202,28499
laurens county,SC,25282,67148,46557
lavaca county,TX,8012,20287,15888
lawrence county,AL,12469,33089,25519
lawrence county,AR,6260,16292,15316
lawrence county,IL,5449,15465,13307
lawrence county,IN,18723,45133,43214
lawrence county,KY,5524,16274,15907
lawrence county,MS,4439,12055,7773
lawrence county,MO,14472,38123,34987
lawrence county,OH,22608,58570,55383
lawrence county,PA,36111,86311,79126
lawrence county,SD,11109,25687,23625
lawrence county,TN,16483,43967,41373
le flore county,OK,17623,48436,35333
le sueur county,MN,11210,28567,26850
lea county,NM,23851,72743,51982
leake county,MS,7424,21452,10260
leavenworth county,KS,28664,81601,66305
lebanon county,PA,54758,142486,120177
lee county,AL,63122,172223,119332
lee county,AR,2767,8832,3723
lee county,FL,298343,752251,586690
lee county,GA,11616,32547,22996
lee county,IL,13508,34373,30599
lee county,IA,14068,33724,31283
lee county,KY,2616,7263,6908
lee county,MS,31674,83388,54363
lee county,NC,23782,62676,44432
lee county,SC,6322,16730,5636
lee county,TX,6148,17393,13848
lee county,VA,8244,22482,21152
leelanau county,MI,9108,22251,20367
leflore county,MS,9534,28555,6184
lehigh county,PA,141775,372492,273083
lemhi county,ID,3361,7948,7429
lenawee county,MI,38667,99346,90792
lenoir county,NC,22767,55344,29055
leon county,FL,117677,290965,171932
leon county,TX,6136,15877,13459
leslie county,KY,3688,10622,10313
letcher county,KY,8406,21784,21238
levy county,FL,17248,42392,36089
lewis county,ID,1556,3613,2975
lewis county,KY,4737,13103,12767
lewis county,MO,3342,10031,9332
lewis county,NY,10453,26681,25395
lewis county,TN,4842,12485,11670
lewis county,WA,31223,81214,70011
lewis county,WV,6662,16966,16032
lewis and clark county,MT,30011,70340,65139
lexington county,SC,115880,291723,222019
lexington city,VA,2005,7287,6027
liberty county,FL,2279,7987,6240
liberty county,GA,22554,64334,27142
liberty county,MT,765,2026,2006
liberty county,TX,27688,89948,64613
licking county,OH,66342,177454,159282
limestone county,AL,37987,101217,78382
limestone county,TX,8027,22252,15395
lincoln county,AR,3391,13092,8542
lincoln county,CO,1812,5630,4977
lincoln county,GA,2953,7686,5204
lincoln county,ID,1798,5184,4255
lincoln county,KS,1212,2952,2819
lincoln county,KY,9543,24314,22828
lincoln county,ME,15372,35065,33405
lincoln county,MN,2438,5655,5464
lincoln county,MS,12949,34910,23636
lincoln county,MO,21404,58689,54987
lincoln county,MT,8458,19674,18346
lincoln county,NE,14439,34906,31959
lincoln county,NV,1728,4600,3907
lincoln county,NM,8723,20084,16754
lincoln county,NC,33863,85670,75220
lincoln county,OK,12550,33650,28069
lincoln county,OR,22093,49866,42844
lincoln county,SD,24719,63233,58567
lincoln county,TN,14032,35042,30709
lincoln county,WA,4440,10798,9994
lincoln county,WV,7759,20625,20121
lincoln county,WI,12055,28378,27125
lincoln county,WY,7383,19457,18481
lincoln parish,LA,17729,48415,26528
linn county,IA,93602,228567,197463
linn county,KS,4089,9667,9097
linn county,MO,4759,11962,11537
linn county,OR,49113,127200,111729
lipscomb county,TX,1144,3138,2363
litchfield county,CT,74857,185175,167417
little river county,AR,4753,12104,8864
live oak county,TX,3857,11378,10432
livingston county,IL,14431,35902,32759
livingston county,KY,3560,8989,8684
livingston county,MI,73924,193234,184314
livingston county,MO,5488,15001,13879
livingston county,NY,24012,62253,56772
livingston parish,LA,48474,141057,123685
llano county,TX,9220,21246,19159
logan county,AR,8271,21299,19096
logan county,CO,7928,21765,18250
logan county,IL,11003,28238,24921
logan county,KS,1156,2777,2600
logan county,KY,10749,27319,24581
logan county,NE,320,865,795
logan county,ND,772,1814,1755
logan county,OH,18928,45997,43173
logan county,OK,17130,49005,39844
logan county,WV,12382,32786,31554
long county,GA,5341,16398,9787
lonoke county,AR,27277,73824,64745
lorain county,OH,123500,311737,257617
los alamos county,NM,8029,19169,15587
los angeles county,CA,3342811,10019635,4382079
loudon county,TN,21801,54349,49789
loudoun county,VA,135690,413574,247456
louisa county,IA,4043,10891,9195
louisa county,VA,14192,37136,29175
loup county,NE,264,665,583
love county,OK,3552,10105,7977
loving county,TX,33,83,82
lowndes county,AL,3878,10334,2566
lowndes county,GA,42512,117437,64243
lowndes county,MS,22315,58904,30517
loíza municipio,PR,8727,24216,4793
lubbock county,TX,118704,308580,228742
lucas county,IA,3614,8650,8429
lucas county,OH,179358,431212,304762
luce county,MI,2128,5520,4338
lumpkin county,GA,11102,33188,31019
luna county,NM,9047,25282,18852
lunenburg county,VA,4304,11982,7226
luquillo municipio,PR,6803,17917,6987
luzerne county,PA,131556,324825,270201
lycoming county,PA,45504,114274,103295
lyman county,SD,1215,3746,2044
lynchburg city,VA,28939,78973,50199
lynn county,TX,2104,5587,4264
lyon county,IA,4364,11953,11457
lyon county,KS,13215,32318,26810
lyon county,KY,3207,8700,7978
lyon county,MN,9849,25477,21489
lyon county,NV,22342,58029,46704
mackinac county,MI,5063,10814,7929
macomb county,MI,351715,879123,691360
macon county,AL,7136,19490,3244
macon county,GA,3907,12330,4351
macon county,IL,43264,104331,80030
macon county,MO,5695,15222,14204
macon county,NC,17161,36532,33547
macon county,TN,9266,24954,23459
macoupin county,IL,17649,45152,43378
madera county,CA,43578,156304,85946
madison county,AL,156305,382149,254837
madison county,AR,6056,16496,14381
madison county,FL,6441,18051,10242
madison county,GA,10510,29906,24613
madison county,ID,11289,50979,46647
madison county,IL,108237,266112,228634
madison county,IN,51355,130037,112268
madison county,IA,6377,16414,15858
madison county,KY,35411,92194,83505
madison county,MS,41805,108248,61408
madison county,MO,4607,12597,12149
madison county,MT,3480,8499,8064
madison county,NE,13979,35553,30625
madison county,NY,24779,68466,63588
madison county,NC,8280,21269,19957
madison county,OH,15181,43947,39047
madison county,TN,38699,98373,55229
madison county,TX,3985,13579,9676
madison county,VA,5175,13731,11858
madison parish,LA,3076,10297,3500
magoffin county,KY,4525,11818,11571
mahaska county,IA,8813,22132,20811
mahnomen county,MN,1863,5429,2490
mahoning county,OH,97293,229044,177163
major county,OK,3171,7753,6705
malheur county,OR,9783,31313,24957
manassas park city,VA,5155,17081,8865
manassas city,VA,13562,42596,24539
manatee county,FL,156254,394824,319008
manatí municipio,PR,14500,39693,22855
manistee county,MI,9681,24939,22428
manitowoc county,WI,34834,81103,74617
marathon county,WI,56218,137597,122925
marengo county,AL,7248,19397,8798
maricao municipio,PR,1888,5389,3045
maricopa county,AZ,1632151,4367186,3077431
maries county,MO,3633,8457,8113
marin county,CA,103751,262387,197622
marinette county,WI,18344,41720,39983
marion county,AL,11131,29392,26925
marion county,AR,6950,16750,15976
marion county,FL,150880,370372,287545
marion county,GA,2924,7563,4524
marion county,IL,15294,37781,34751
marion county,IN,388366,969542,567024
marion county,IA,13241,33381,31655
marion county,KS,4617,11877,11229
marion county,KY,7536,19556,17466
marion county,MS,9175,24609,15814
marion county,MO,11442,28564,26024
marion county,OH,24251,65515,58149
marion county,OR,121132,344037,258281
marion county,SC,10844,29585,11446
marion county,TN,11718,28679,26586
marion county,TX,4036,9748,7040
marion county,WV,23278,56256,52338
mariposa county,CA,7588,17225,14774
marlboro county,SC,9331,26912,10769
marquette county,MI,26709,66380,61260
marquette county,WI,6688,15515,14795
marshall county,AL,35439,97179,86307
marshall county,IL,4892,11781,11231
marshall county,IN,16865,46175,43228
marshall county,IA,15298,40137,32283
marshall county,KS,4070,9995,9539
marshall county,KY,13217,31662,30589
marshall county,MN,3698,9082,8600
marshall county,MS,12542,34031,16547
marshall county,OK,5613,15361,10265
marshall county,SD,1708,4373,3672
marshall county,TN,12718,33909,30376
marshall county,WV,11811,30813,29569
martin county,FL,66108,158323,134574
martin county,IN,3944,9885,9578
martin county,KY,3637,11394,10250
martin county,MN,8739,20070,19047
martin county,NC,9262,22213,11834
martin county,TX,1868,5213,4355
martinsville city,VA,5656,13476,6124
mason county,IL,5790,13225,12784
mason county,KY,6591,17103,15116
mason county,MI,12135,29103,27146
mason county,TX,1490,3948,3391
mason county,WA,25085,64964,52653
mason county,WV,10057,25667,24736
massac county,IL,5466,14280,12681
matagorda county,TX,13686,36323,22707
matanuska-susitna borough,AK,38056,106807,86075
mathews county,VA,3558,8548,7440
maui county,HI,53919,164568,54194
maunabo municipio,PR,3891,10700,727
maury county,TN,38532,99011,81541
maverick county,TX,17690,57769,38877
mayagüez municipio,PR,29241,74146,14726
mayes county,OK,15070,39303,25331
mcclain county,OK,14836,41258,34101
mccone county,MT,829,1805,1689
mccook county,SD,2176,5676,5428
mccormick county,SC,3768,9584,5007
mccracken county,KY,27062,67394,56582
mccreary county,KY,5700,17044,15321
mcculloch county,TX,3138,7676,6077
mccurtain county,OK,11235,31112,19083
mcdonald county,MO,8234,23267,18004
mcdonough county,IL,11247,27743,24537
mcdowell county,NC,18209,44527,39921
mcdowell county,WV,6413,19334,17350
mcduffie county,GA,8216,21727,11709
mchenry county,IL,114446,310749,275551
mchenry county,ND,2329,5420,5223
mcintosh county,GA,4706,11291,7144
mcintosh county,ND,1224,2568,2449
mcintosh county,OK,7233,19105,13133
mckean county,PA,15776,40652,38190
mckenzie county,ND,4928,13762,11040
mckinley county,NM,20769,72946,8389
mclean county,IL,67900,171455,140405
mclean county,KY,3659,9182,8877
mclean county,ND,4101,9788,8611
mclennan county,TX,94194,258031,185534
mcleod county,MN,14614,36662,34049
mcminn county,TN,21163,53065,48161
mcmullen county,TX,186,729,607
mcnairy county,TN,9818,25916,23574
mcpherson county,KS,12180,30059,28508
mcpherson county,NE,201,475,470
mcpherson county,SD,872,2245,2162
meade county,KS,1632,4089,3350
meade county,KY,10331,29735,27059
meade county,SD,11157,29561,26387
meagher county,MT,819,1932,1770
mecklenburg county,NC,435562,1100984,549391
mecklenburg county,VA,12655,30347,18969
mecosta county,MI,15800,40051,36729
medina county,OH,71360,181448,170716
medina county,TX,16765,50458,39631
meeker county,MN,8964,23268,22243
meigs county,OH,8719,22361,21730
meigs county,TN,5129,12622,11651
mellette county,SD,586,1916,676
menard county,IL,5114,12343,11932
menard county,TX,904,1981,1560
mendocino county,CA,34183,91534,70801
menifee county,KY,2130,6149,6055
menominee county,MI,9726,23477,22026
menominee county,WI,1251,4318,483
merced county,CA,81618,279150,128897
mercer county,IL,6339,15779,15082
mercer county,KY,8909,22470,20787
mercer county,MO,1228,3561,3405
mercer county,NJ,137114,384951,220833
mercer county,ND,3513,8405,7744
mercer county,OH,15923,42154,40567
mercer county,PA,45798,111216,99987
mercer county,WV,24634,59892,53963
meriwether county,GA,7895,20659,11972
merrick county,NE,3136,7687,7216
merrimack county,NH,59175,152983,141870
mesa county,CO,61977,154685,138360
metcalfe county,KY,4087,10275,9794
miami county,IN,13148,36100,31993
miami county,KS,12921,33968,31733
miami county,OH,43279,107899,99706
miami-dade county,FL,936351,2690113,1520002
middlesex county,CT,68200,164568,140541
middlesex county,MA,624335,1623411,1183913
middlesex county,NJ,299455,858770,441363
middlesex county,VA,4579,10686,8422
midland county,MI,34090,83467,76753
midland county,TX,63506,166964,122405
mifflin county,PA,18641,46156,44173
milam county,TX,9740,24895,20079
millard county,UT,4204,12860,11122
mille lacs county,MN,10389,26397,23463
miller county,AR,16240,42875,29767
miller county,GA,2531,5984,4019
miller county,MO,10084,24643,23634
mills county,IA,5301,14658,14142
mills county,TX,1695,4520,3826
milwaukee county,WI,387392,939123,519643
miner county,SD,910,2293,2162
mineral county,CO,386,794,728
mineral county,MT,1981,4490,4173
mineral county,NV,1737,4552,2986
mineral county,WV,10431,27045,25390
mingo county,WV,9110,23821,22836
minidoka county,ID,7363,21393,17368
minnehaha county,SD,77998,194884,162086
missaukee county,MI,5845,15038,14211
mississippi county,AR,15565,41061,24266
mississippi county,MO,4606,12976,9359
missoula county,MT,49437,117379,105465
mitchell county,GA,7946,21940,10474
mitchell county,IA,4400,10526,10251
mitchell county,KS,2445,5884,5630
mitchell county,NC,6438,14951,14080
mitchell county,TX,2258,8903,6962
mobile county,AL,158045,414620,238047
moca municipio,PR,13315,37532,28776
modoc county,CA,3413,8723,7416
moffat county,CO,5121,13240,11500
mohave county,AZ,93179,211274,180762
moniteau county,MO,5504,15723,14524
monmouth county,NJ,245569,642160,513756
mono county,CA,5361,13291,10677
monona county,IA,3786,8732,8345
monongalia county,WV,43640,105695,93791
monroe county,AL,7333,20115,10882
monroe county,AR,2816,6903,3738
monroe county,FL,33643,82244,65748
monroe county,GA,10176,27825,20556
monroe county,IL,13479,34732,33668
monroe county,IN,57160,140189,119185
monroe county,IA,2998,7589,7195
monroe county,KY,4491,11269,10672
monroe county,MI,61523,154068,142575
monroe county,MS,13465,34448,23399
monroe county,MO,3506,8643,8077
monroe county,NY,311955,757332,559371
monroe county,OH,5565,13514,13015
monroe county,PA,59208,168128,122725
monroe county,TN,18574,46041,42169
monroe county,WV,4493,12492,12102
monroe county,WI,17733,46091,42173
montague county,TX,7835,19850,18343
montcalm county,MI,23686,66430,61712
monterey county,CA,129977,438953,190148
montezuma county,CO,10461,25916,20520
montgomery county,AL,89134,229072,77725
montgomery county,AR,3669,8525,7862
montgomery county,GA,2857,8701,5907
montgomery county,IL,11145,28482,26687
montgomery county,IN,15420,37967,35511
montgomery county,IA,4380,10327,9711
montgomery county,KS,12793,31679,26119
montgomery county,KY,10748,28084,26383
montgomery county,MD,383308,1057201,516438
montgomery county,MS,3802,9948,5180
montgomery county,MO,4635,11384,10589
montgomery county,NY,18907,49539,42126
montgomery county,NC,9112,25891,18305
montgomery county,OH,226199,536136,381562
montgomery county,PA,327065,850890,656077
montgomery county,TN,77460,216172,145122
montgomery county,TX,214328,607999,479464
montgomery county,VA,35533,99294,84296
montmorency county,MI,4305,9164,8792
montour county,PA,7476,18198,16750
montrose county,CO,16840,42328,37249
moody county,SD,2474,6335,4895
moore county,NC,40595,98618,78304
moore county,TN,2475,6481,6003
moore county,TX,6893,21494,15005
mora county,NM,2129,4232,2423
morehouse parish,LA,9240,25852,12554
morgan county,AL,47459,122608,95132
morgan county,CO,10601,28868,21591
morgan county,GA,7246,19694,14422
morgan county,IL,13187,33189,29452
morgan county,IN,26926,71394,68466
morgan county,KY,4463,13772,12759
morgan county,MO,7566,20883,19799
morgan county,OH,5629,13955,12820
morgan county,TN,7110,21158,19440
morgan county,UT,3504,12162,11547
morgan county,WV,6957,17144,16219
morovis municipio,PR,9654,29069,18111
morrill county,NE,1855,4595,4097
morris county,KS,2294,5377,5138
morris county,NJ,187430,508347,391087
morris county,TX,4784,11988,8267
morrison county,MN,13530,33876,32562
morrow county,OH,13048,34892,33399
morrow county,OR,4085,11964,9039
morton county,KS,938,2744,2366
morton county,ND,13237,32916,29477
motley county,TX,458,1269,1089
moultrie county,IL,5753,14634,14167
mountrail county,ND,3472,9717,5830
mower county,MN,15596,39985,32671
muhlenberg county,KY,11456,31011,28624
multnomah county,OR,339228,810011,601826
murray county,GA,14431,39853,37781
murray county,MN,3440,8224,7804
murray county,OK,4929,13874,10215
muscatine county,IA,16785,43145,36944
muscogee county,GA,78491,204366,85220
muskegon county,MI,66122,175633,138802
muskingum county,OH,33970,86346,78860
muskogee county,OK,25455,66881,37376
musselshell county,MT,2179,4813,4490
nacogdoches county,TX,24179,64822,45160
naguabo municipio,PR,8160,23722,10960
nance county,NE,1300,3389,3242
nantucket county,MA,4031,13795,10453
napa county,CA,48745,138795,92927
naranjito municipio,PR,8302,29200,16947
nash county,NC,37477,94628,47434
nassau county,FL,34691,88492,78277
nassau county,NY,453576,1391678,898504
natchitoches parish,LA,13765,37896,19673
natrona county,WY,32634,79382,73169
navajo county,AZ,36567,106609,49282
navarro county,TX,17602,51908,36050
nelson county,KY,18163,46440,42535
nelson county,ND,1318,3035,2834
nelson county,VA,6149,14795,12481
nemaha county,KS,3971,10197,9795
nemaha county,NE,2794,7025,6480
neosho county,KS,6232,15926,14950
neshoba county,MS,10024,29153,16893
ness county,KS,1156,2717,2351
nevada county,AR,3070,8340,5237
nevada county,CA,40877,102090,92393
new castle county,DE,218002,567769,345223
new hanover county,NC,97852,225175,179231
new haven county,CT,336400,864751,597439
new kent county,VA,8306,22519,18130
new london county,CT,109481,269131,211182
new madrid county,MO,6816,16658,13246
new york county,NY,767213,1669127,893947
newaygo county,MI,18892,49653,45333
newberry county,SC,15137,37842,23411
newport county,RI,35329,85525,74939
newport news city,VA,74922,185069,84120
newton county,AR,2769,7343,6803
newton county,GA,39342,111262,52003
newton county,IN,5489,13865,12865
newton county,MS,7533,21385,12763
newton county,MO,21932,58634,50223
newton county,TX,4728,12532,9304
nez perce county,ID,16848,41820,37164
niagara county,NY,90030,212808,183420
nicholas county,KY,2730,7517,7207
nicholas county,WV,9678,24770,24033
nicollet county,MN,12733,34295,30666
niobrara county,WY,1017,2486,2313
noble county,IN,17702,47293,44077
noble county,OH,4608,14166,13239
noble county,OK,4202,11020,8928
nobles county,MN,7606,22223,15602
nodaway county,MO,8358,21571,20112
nolan county,TX,5548,14727,11902
nome census area,AK,2714,10070,1467
norfolk county,MA,276744,720403,536335
norfolk city,VA,92877,238556,109276
norman county,MN,2670,6500,5992
north slope borough,AK,2103,10865,3108
northampton county,NC,7397,17917,7028
northampton county,PA,119208,311359,252088
northampton county,VA,5292,12226,7328
northumberland county,PA,37369,91853,85569
northumberland county,VA,5127,11965,8550
northwest arctic borough,AK,1756,7776,870
norton county,KS,1816,5457,4946
norton city,VA,1540,3696,3566
nottoway county,VA,5309,15667,8924
nowata county,OK,3742,9484,6259
noxubee county,MS,3657,10410,2676
nuckolls county,NE,1720,4125,3979
nueces county,TX,129845,353594,255546
nye county,NV,21411,50096,39015
o'brien county,IA,5670,14139,13134
oakland county,MI,520393,1271983,927800
obion county,TN,12526,30722,25251
ocean county,NJ,237729,630057,557414
oceana county,MI,9789,26555,24168
ochiltree county,TX,3605,10063,7692
oconee county,GA,13965,41006,35547
oconee county,SC,32413,77932,66893
oconto county,WI,16352,38691,36844
ogemaw county,MI,8999,20745,19814
oglala lakota county,SD,2595,13835,597
ogle county,IL,20771,51787,47291
oglethorpe county,GA,5276,14779,11671
ohio county,IN,2548,5931,5698
ohio county,KY,8845,23861,22698
ohio county,WV,17447,42443,39066
okaloosa county,FL,81785,209230,158485
okanogan county,WA,16630,41966,29219
okeechobee county,FL,14794,39716,31392
okfuskee county,OK,3780,11444,7109
oklahoma county,OK,313822,790938,513819
okmulgee county,OK,13959,37046,23540
oktibbeha county,MS,21011,51339,28978
oldham county,KY,21934,67586,60478
oldham county,TX,648,2251,1982
oliver county,ND,687,1850,1699
olmsted county,MN,64611,160928,131507
oneida county,ID,1760,4514,4309
oneida county,NY,90866,232034,194518
oneida county,WI,15724,37468,35782
onondaga county,NY,190353,474621,370405
onslow county,NC,69246,201597,145281
ontario county,NY,46547,112060,102279
ontonagon county,MI,2710,5891,5625
orange county,CA,1057592,3182923,1707592
orange county,FL,475292,1409949,781989
orange county,IN,7948,19752,18667
orange county,NY,132880,398277,281566
orange county,NC,54783,147376,107887
orange county,TX,30636,85045,71215
orange county,VT,12383,29286,27950
orange county,VA,13970,36001,28506
orangeburg county,SC,32164,84909,29750
oregon county,MO,3423,8891,8446
orleans county,NY,16203,40588,35628
orleans county,VT,11338,27317,26034
orleans parish,LA,156586,383974,125519
orocovis municipio,PR,6828,21510,13446
osage county,KS,6325,15811,15006
osage county,MO,5202,13372,13120
osage county,OK,16824,46140,29427
osborne county,KS,1592,3512,3329
osceola county,FL,110156,380331,219358
osceola county,IA,2659,6168,5721
osceola county,MI,8675,22917,21707
oscoda county,MI,3292,8206,7826
oswego county,NY,46749,118019,110888
otero county,CO,7618,18665,15123
otero county,NM,23590,67298,46822
otoe county,NE,6312,15916,14192
otsego county,MI,10452,25016,23776
otsego county,NY,22448,58952,54335
ottawa county,KS,2356,5778,5492
ottawa county,MI,107218,293713,257231
ottawa county,OH,17930,40479,37949
ottawa county,OK,11728,30568,19835
otter tail county,MN,24838,59728,55663
ouachita county,AR,8686,22858,12952
ouachita parish,LA,58493,160227,93017
ouray county,CO,2204,4850,4494
outagamie county,WI,75847,189620,167768
overton county,TN,8731,22364,21606
owen county,IN,8444,21280,20478
owen county,KY,4167,11160,10607
owsley county,KY,1460,4094,3671
owyhee county,ID,4232,11815,9029
oxford county,ME,22747,57807,54993
ozark county,MO,3591,8664,8299
ozaukee county,WI,36889,91029,83716
pacific county,WA,9878,22974,19161
page county,IA,6171,15250,14184
page county,VA,9355,23734,22206
palm beach county,FL,581119,1481233,968070
palo alto county,IA,3685,8996,8442
palo pinto county,TX,10383,28303,24887
pamlico county,NC,5120,12293,9358
panola county,MS,12114,33300,16024
panola county,TX,8186,22583,17620
park county,CO,7169,17384,16128
park county,MT,7920,17072,16113
park county,WY,12607,29664,27569
parke county,IN,5519,16316,15417
parker county,TX,50815,144803,129416
parmer county,TX,3172,9874,7710
pasco county,FL,217318,551598,448258
pasquotank county,NC,15061,40240,22976
passaic county,NJ,176203,521067,290193
patillas municipio,PR,5869,16231,1044
patrick county,VA,7732,17661,16151
paulding county,GA,54961,165688,118940
paulding county,OH,7480,18858,17717
pawnee county,KS,2364,6356,5581
pawnee county,NE,1069,2564,2483
pawnee county,OK,5900,15687,12011
payette county,ID,9272,24928,21069
payne county,OK,31197,81817,64556
peach county,GA,10209,27822,13887
pearl river county,MS,20465,55972,46157
pecos county,TX,4995,15202,11169
pembina county,ND,2941,6912,6443
pemiscot county,MO,6162,15949,11023
pend oreille county,WA,5653,13302,11536
pender county,NC,22653,59964,45930
pendleton county,KY,5194,14625,13887
pendleton county,WV,2333,6249,5857
pennington county,MN,5987,14063,13009
pennington county,SD,44003,108707,87663
penobscot county,ME,62812,152211,141965
peoria county,IL,75352,182439,129973
pepin county,WI,3058,7328,7114
perkins county,NE,1137,2865,2755
perkins county,SD,1280,2977,2810
perquimans county,NC,5733,13002,9410
perry county,AL,2847,8702,2569
perry county,AR,3732,10056,9255
perry county,IL,8108,21158,18373
perry county,IN,7526,19151,18023
perry county,KY,11252,28421,26988
perry county,MS,4371,11611,9288
perry county,MO,7305,19007,18149
perry county,OH,13071,35439,34188
perry county,PA,17823,45879,43873
perry county,TN,3052,8313,7602
pershing county,NV,1857,6668,4987
person county,NC,15927,38999,26021
petersburg borough,AK,1211,3368,2175
petersburg city,VA,14464,33229,5649
petroleum county,MT,195,434,408
pettis county,MO,16608,42919,38162
peñuelas municipio,PR,6756,20625,14921
phelps county,MO,17878,44692,39604
phelps county,NE,3785,8972,8434
philadelphia county,PA,646608,1596865,614147
phillips county,AR,6315,16923,5868
phillips county,CO,1715,4497,3862
phillips county,KS,2203,5022,4757
phillips county,MT,1732,4233,3531
piatt county,IL,6686,16664,16062
pickaway county,OH,20706,58458,54173
pickens county,AL,6993,19240,10996
pickens county,GA,12646,32814,28822
pickens county,SC,49438,129617,112821
pickett county,TN,2161,5021,4865
pierce county,GA,7235,19644,16811
pierce county,NE,2861,7266,7003
pierce county,ND,1671,4038,3732
pierce county,WA,335969,910225,634333
pierce county,WI,15860,42204,39702
pike county,AL,11508,33176,18961
pike county,AR,4042,10234,9090
pike county,GA,6200,18754,16457
pike county,IL,5756,14923,14364
pike county,IN,5127,12220,11732
pike county,KY,23855,58914,57091
pike county,MS,14838,40262,17309
pike county,MO,6468,18052,16102
pike county,OH,10478,27271,25953
pike county,PA,23351,58345,49407
pima county,AZ,417483,1035063,720319
pinal county,AZ,145554,420625,307365
pine county,MN,10916,28997,26295
pinellas county,FL,415730,957989,751619
pipestone county,MN,3957,9370,8597
piscataquis county,ME,7176,16760,15754
pitkin county,CO,7202,17471,15369
pitt county,NC,71134,170600,94288
pittsburg county,OK,17112,43836,31205
pittsylvania county,VA,24663,60833,45607
piute county,UT,538,1809,1709
placer county,CA,149714,400330,311591
plaquemines parish,LA,8039,23536,15371
platte county,MO,42154,105189,86798
platte county,NE,13306,34123,29894
platte county,WY,3793,8607,7790
pleasants county,WV,2688,7623,7399
plumas county,CA,8231,19631,17401
plymouth county,IA,10191,25543,23903
plymouth county,MA,196307,527602,425485
pocahontas county,IA,3121,7091,6754
pocahontas county,WV,2912,8006,7915
poinsett county,AR,8992,23212,20032
pointe coupee parish,LA,8287,20951,13137
polk county,AR,7736,19476,17491
polk county,FL,253178,713148,488583
polk county,GA,15507,42692,33499
polk county,IA,195263,488871,397715
polk county,MN,12363,31303,27694
polk county,MO,11633,31541,29411
polk county,NE,1958,5223,4945
polk county,NC,8596,19413,17594
polk county,OR,31742,86347,72636
polk county,TN,7006,17502,16299
polk county,TX,17028,49372,39440
polk county,WI,18263,44806,42766
ponce municipio,PR,52008,139245,88336
pondera county,MT,2188,5974,4868
pontotoc county,MS,11394,31136,23638
pontotoc county,OK,14604,38102,25161
pope county,AR,23304,63234,55406
pope county,IL,1372,3820,3438
pope county,MN,4892,11216,10685
poquoson city,VA,4617,12382,11533
portage county,OH,63372,161897,144293
portage county,WI,29041,70378,64514
porter county,IN,67009,172353,151838
portsmouth city,VA,38553,97454,37173
posey county,IN,10059,25301,24098
pottawatomie county,KS,8788,25082,23277
pottawatomie county,OK,26237,72331,53351
pottawattamie county,IA,36964,93571,85207
potter county,PA,6385,16478,15936
potter county,SD,1067,2613,2381
potter county,TX,43103,119043,85838
powder river county,MT,758,1759,1619
powell county,KY,4665,13050,12368
powell county,MT,2300,6955,6219
power county,ID,2697,7854,5954
poweshiek county,IA,7820,18628,17221
powhatan county,VA,10722,29979,25851
prairie county,AR,3385,8306,7111
prairie county,MT,484,1227,1192
pratt county,KS,3671,9266,8571
preble county,OH,16648,41027,39471
prentiss county,MS,9088,25022,20534
presidio county,TX,2195,6328,4404
presque isle county,MI,5844,12976,12479
preston county,WV,12510,34266,31638
price county,WI,6576,14003,13276
prince edward county,VA,7113,21887,13694
prince george county,VA,12492,42170,24301
prince george's county,MD,337366,957767,143229
prince william county,VA,150488,477224,252212
prince of wales-hyder census area,AK,2310,5886,2718
providence county,RI,249592,656672,449446
prowers county,CO,4421,11966,9808
pueblo county,CO,66442,167453,131458
pulaski county,AR,164697,397931,213691
pulaski county,GA,3084,10001,5841
pulaski county,IL,1857,5279,3470
pulaski county,IN,4845,12496,11692
pulaski county,KY,25255,64717,61955
pulaski county,MO,15506,53460,39799
pulaski county,VA,14534,33893,31099
pushmataha county,OK,4189,10891,7661
putnam county,FL,29174,73147,55904
putnam county,GA,9499,21870,15065
putnam county,IL,2298,5638,5376
putnam county,IN,13474,36838,34094
putnam county,MO,1704,4715,4543
putnam county,NY,34651,97960,81500
putnam county,OH,13158,34395,32176
putnam county,TN,31933,78955,71957
putnam county,WV,22075,57385,54585
quay county,NM,3359,8675,6531
quebradillas municipio,PR,8261,23743,18493
queen anne's county,MD,18914,49702,42831
queens county,NY,807468,2393104,804251
quitman county,GA,946,2249,931
quitman county,MS,2596,6327,1607
rabun county,GA,6585,16731,15205
racine county,WI,79040,197379,153515
radford city,VA,5545,16205,13710
rains county,TX,4585,12013,11064
raleigh county,WV,30033,74929,65664
ralls county,MO,4009,10318,9745
ramsey county,MN,215740,549377,349363
ramsey county,ND,4915,11638,9547
randall county,TX,54480,139176,116445
randolph county,AL,8607,21984,16953
randolph county,AR,7234,18442,16823
